biome,zone,material,probability,minInclination,maxInclination,propDistance,slotDistance,terrainOffset,slotFilename
GrassyPlateaus_Tower,Generic,Rock,0.03,60,150,4,4,0,GrassyPlateaus/GrassyPlateaus_Loot_Tower
GrassyPlateaus,Generic,Grass,0.007,0,45,3,3,8,GrassyPlateaus/GrassyPlateaus_Creature_Grass
GrassyPlateaus,Generic,Rock,0.006,45,150,3,3,5,GrassyPlateaus/GrassyPlateaus_Creature_Wall
GrassyPlateaus,Generic,Sand,0.007,0,35,3,6,6,GrassyPlateaus/GrassyPlateaus_Creature_Sand
GrassyPlateaus_Cave,Generic,Sand,0.02,0,40,2,3,2,GrassyPlateaus/GrassyPlateaus_Creature_CaveFloor
GrassyPlateaus_Cave,Generic,Rock,0.02,0,40,2,3,2,GrassyPlateaus/GrassyPlateaus_Creature_CaveFloor
GrassyPlateaus_Cave,Generic,Rock,0.02,45,140,1,3,3,GrassyPlateaus/GrassyPlateaus_Creature_CaveWall
GrassyPlateaus_Cave,Generic,Coral,0.02,45,140,1,3,3,GrassyPlateaus/GrassyPlateaus_Creature_CaveWall
GrassyPlateaus_Cave,Generic,Stalactite,0.01,45,140,1,3,3,GrassyPlateaus/GrassyPlateaus_Creature_CaveWall
GrassyPlateaus_Cave,Generic,Rock,0.006,140,180,2,3,3,GrassyPlateaus/GrassyPlateaus_Creature_CaveCeiling
GrassyPlateaus_Cave,Generic,Coral,0.006,140,180,2,3,3,GrassyPlateaus/GrassyPlateaus_Creature_CaveCeiling
GrassyPlateaus_Tower,Generic,Sand,0.03,0,25,2,2,5,GrassyPlateaus/GrassyPlateaus_Creature_Tower
GrassyPlateaus_Tower,Generic,Grass,0.03,0,25,2,2,5,GrassyPlateaus/GrassyPlateaus_Creature_Tower
GrassyPlateaus_Tower,Generic,Rock,0.03,60,150,4,4,5,GrassyPlateaus/GrassyPlateaus_Creature_Tower
GrassyPlateaus,Generic,Sand,0.02,0,35,3,6,0,GrassyPlateaus/GrassyPlateaus_Loot_Sand
JellyshroomCaves*,Generic,Jcaves_Ceiling,0.01,0,180,1,5,0,JellyshroomCaves/Jellyshroom_Loot_CaveCeiling
JellyshroomCaves*,Generic,Jcaves_Floor,0.01,0,25,1,5,0,JellyshroomCaves/Jellyshroom_Loot_CaveFloor
JellyshroomCaves*,Generic,Jcaves_Sand,0.01,0,25,1,5,0,JellyshroomCaves/Jellyshroom_Loot_CaveSand
JellyshroomCaves*,Generic,Jcaves_Wall,0.01,0,135,1,5,0,JellyshroomCaves/Jellyshroom_Loot_CaveWall
JellyshroomCaves*,Generic,Jcaves_Geyser,0.005,0,135,1,5,0,JellyshroomCaves/Jellyshroom_Loot_Geyser
JellyshroomCaves*,Generic,Jcaves_Jellyshroom,0.005,0,10,1,5,0,JellyshroomCaves/Jellyshroom_Loot_Jellyshroom
JellyshroomCaves*,Generic,Jcaves_Ceiling,0.005,0,180,1,5,10,JellyshroomCaves/Jellyshroom_Creature_CaveCeiling
JellyshroomCaves*,Generic,Jcaves_Floor,0.01,0,10,1,5,10,JellyshroomCaves/Jellyshroom_Creature_CaveFloor
JellyshroomCaves*,Generic,Jcaves_Sand,0.005,0,10,1,5,10,JellyshroomCaves/Jellyshroom_Creature_CaveSand
JellyshroomCaves*,Generic,Jcaves_Wall,0.005,0,135,1,5,10,JellyshroomCaves/Jellyshroom_Creature_CaveWall
JellyshroomCaves*,Generic,Jcaves_Geyser,0.005,0,10,1,5,5,JellyshroomCaves/Jellyshroom_Creature_Geyser
JellyshroomCaves*,Generic,Jcaves_Jellyshroom,0.005,0,10,1,5,10,JellyshroomCaves/Jellyshroom_Creature_Jellyshroom
KooshZone_Cave*,Generic,KZSand,0.002,0,45,0.3,3,0,KooshZone/KooshZone_Loot_CaveFloor
KooshZone_Cave*,Generic,KZRock,0.002,0,45,0.3,3,0,KooshZone/KooshZone_Loot_CaveFloor
KooshZone_Cave*,Generic,KZRock,0.002,45,180,0.3,3,0,KooshZone/KooshZone_Loot_CaveWall
KooshZone_CaveSpecial,Generic,KZSand,0.003,0,180,0.3,3,0,KooshZone/KooshZone_Loot_CaveSpecial
KooshZone_CaveSpecial,Generic,KZRock,0.003,0,180,0.3,3,0,KooshZone/KooshZone_Loot_CaveSpecial
KooshZone,Generic,KZGrass,0.05,0,45,0.3,5,0,KooshZone/KooshZone_Loot_Grass
KooshZone,Generic,KZRock,0.004,45,160,0.5,5,0,KooshZone/KooshZone_Loot_RockWall
KooshZone_Geyser,Generic,KZSand,0.01,0,180,0.5,5,0,KooshZone/KooshZone_Loot_Geyser
KooshZone_Geyser,Generic,KZRock,0.01,0,180,0.5,5,0,KooshZone/KooshZone_Loot_Geyser
KooshZone,Generic,KZSand,0.008,0,90,0.3,5,0,KooshZone/KooshZone_Loot_Sand
KooshZone,Generic,KZRock,0.008,0,45,0.3,5,0,KooshZone/KooshZone_Loot_Sand
KooshZone,Generic,KZCoral,0.005,0,180,0.5,5,0,KooshZone/KooshZone_Loot_Coral
KooshZone_HugeBush,Generic,KZSand,0.005,0,45,0.5,5,0,KooshZone/KooshZone_Loot_HugeKooshBase
KooshZone_Cave*,Generic,KZSand,0.002,0,45,0.3,3,3,KooshZone/KooshZone_Creature_CaveFloor
KooshZone_Cave*,Generic,KZRock,0.002,0,45,0.3,3,3,KooshZone/KooshZone_Creature_CaveFloor
KooshZone_Cave*,Generic,KZRock,0.002,45,180,0.3,3,3,KooshZone/KooshZone_Creature_CaveWall
KooshZone_CaveSpecial,Generic,KZSand,0,0,180,0.3,3,3,KooshZone/KooshZone_Creature_CaveSpecial
KooshZone_CaveSpecial,Generic,KZRock,0,0,180,0.3,3,3,KooshZone/KooshZone_Creature_CaveSpecial
KooshZone,Generic,KZGrass,0.05,0,45,0.3,5,3,KooshZone/KooshZone_Creature_Grass
KooshZone,Generic,KZRock,0.004,45,160,0.5,5,3,KooshZone/KooshZone_Creature_RockWall
KooshZone_Geyser,Generic,KZSand,0.01,0,180,0.5,5,3,KooshZone/KooshZone_Creature_Geyser
KooshZone_Geyser,Generic,KZRock,0.01,0,180,0.5,5,3,KooshZone/KooshZone_Creature_Geyser
KooshZone,Generic,KZSand,0.008,0,90,0.3,5,3,KooshZone/KooshZone_Creature_Sand
KooshZone,Generic,KZRock,0.008,0,45,0.3,5,3,KooshZone/KooshZone_Creature_Sand
KooshZone,Generic,KZCoral,0.005,0,180,0.5,5,3,KooshZone/KooshZone_Creature_Coral
KooshZone_Hugebush,Generic,KZSand,0,0,45,0.5,5,3,KooshZone/KooshZone_Creature_HugeKooshBase
MushroomForest_Cave*,Generic,MFSand,0.002,0,45,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveFloor
MushroomForest_Cave*,Generic,MFRock,0.002,0,45,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveFloor
MushroomForest_Cave*,Generic,MFCoral,0.002,0,45,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveFloor
MushroomForest_Cave*,Generic,MFRock,0.002,45,180,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveWall
MushroomForest_Cave*,Generic,MFCoral,0.002,45,180,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveWall
MushroomForest_CaveSpecial*,Generic,MFSand,0.003,0,180,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveSpecial
MushroomForest_CaveSpecial*,Generic,MFRock,0.003,0,180,0.3,3,0,MushroomForest/MushroomForest_Loot_CaveSpecial
MushroomForest,Generic,MFGrass,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Grass
MushroomForest,Generic,MFRock,0.004,45,180,0.5,5,0,MushroomForest/MushroomForest_Loot_RockWall
MushroomForest,Generic,MFCoral,0.004,0,180,0.2,3,0,MushroomForest/MushroomForest_Loot_MushroomTreeTrunk
MushroomForest_CoralRoot,Generic,MFCoral,0.003,0,360,0.3,4,0,MushroomForest/MushroomForest_Loot_CoralRoot
MushroomForest,Generic,MFSand,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Sand
MushroomForest,Generic,MFRock,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Sand
MushroomForest_CoralRoot,Generic,MFGrass,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Grass
MushroomForest_CoralRoot,Generic,MFRock,0.004,45,180,0.5,5,0,MushroomForest/MushroomForest_Loot_RockWall
MushroomForest_CoralRoot,Generic,MFSand,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Sand
MushroomForest_CoralRoot,Generic,MFRock,0.005,0,60,0.3,4,0,MushroomForest/MushroomForest_Loot_Sand
MushroomForest_Cave*,Generic,MFSand,0.002,0,45,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveFloor
MushroomForest_Cave*,Generic,MFRock,0.002,0,45,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveFloor
MushroomForest_Cave*,Generic,MFCoral,0.002,0,45,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveFloor
MushroomForest_Cave*,Generic,MFRock,0.002,45,180,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveWall
MushroomForest_Cave*,Generic,MFCoral,0.002,45,180,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveWall
MushroomForest_CaveSpecial*,Generic,MFSand,0.003,0,180,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveSpecial
MushroomForest_CaveSpecial*,Generic,MFRock,0.003,0,180,0.3,4,3,MushroomForest/MushroomForest_Creature_CaveSpecial
MushroomForest,Generic,MFGrass,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Grass
MushroomForest,Generic,MFRock,0.004,45,180,0.5,5,3,MushroomForest/MushroomForest_Creature_RockWall
MushroomForest,Generic,MFCoral,0.004,0,180,0.2,3,3,MushroomForest/MushroomForest_Creature_MushroomTreeTrunk
MushroomForest_CoralRoot,Generic,MFCoral,0.003,0,360,0.3,4,3,MushroomForest/MushroomForest_Creature_CoralRoot
MushroomForest,Generic,MFSand,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Sand
MushroomForest,Generic,MFRock,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Sand
MushroomForest_CoralRoot,Generic,MFGrass,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Grass
MushroomForest_CoralRoot,Generic,MFRock,0.004,45,180,0.5,5,3,MushroomForest/MushroomForest_Creature_RockWall
MushroomForest_CoralRoot,Generic,MFSand,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Sand
MushroomForest_CoralRoot,Generic,MFRock,0.005,0,60,0.3,4,3,MushroomForest/MushroomForest_Creature_Sand
UnderwaterIslands,Generic,Rock,0.005,40,180,1,3,0,UnderwaterIslands/UnderwaterIslands_Loot_ValleyWall
UnderwaterIslands,Generic,Sand,0.01,0,40,0.5,1,0,UnderwaterIslands/UnderwaterIslands_Loot_ValleyLedge
UnderwaterIslands_ValleyFloor,Generic,Sand,0.01,0,40,1,3,0,UnderwaterIslands/UnderwaterIslands_Loot_ValleyFloor
UnderwaterIslands_Geyser,Generic,Sand,0.01,0,40,1,3,0,UnderwaterIslands/UnderwaterIslands_Loot_ValleyFloor
UnderwaterIslands_Geyser,Generic,Rock,0.02,45,100,1,3,0,UnderwaterIslands/UnderwaterIslands_Loot_Geyser
UnderwaterIslands_Island,Generic,Sand,0.01,0,40,0.5,2,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandTop
UnderwaterIslands_Island,Generic,PorousSand,0.01,0,40,0.5,2,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandTop
UnderwaterIslands_Island,Generic,PorousRock,0.01,70,180,0.5,3,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandSides
UnderwaterIslands_Island,Generic,PorousCoral,0.1,0,40,0.2,1,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandPlants
UnderwaterIslands_IslandCave,Generic,PorousSand,0.01,0,45,0.2,1,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandCaveFloor
UnderwaterIslands_IslandCave,Generic,PorousRock,0.01,45,180,0.5,1,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandCaveWall
UnderwaterIslands_IslandCave,Generic,PorousCoral,0.01,0,45,0.2,1,0,UnderwaterIslands/UnderwaterIslands_Loot_IslandCavePlants
UnderwaterIslands,Generic,Rock,0.005,40,180,3,5,15,UnderwaterIslands/UnderwaterIslands_Creature_ValleyWall
UnderwaterIslands,Generic,Sand,0.01,0,40,3,3,10,UnderwaterIslands/UnderwaterIslands_Creature_ValleyLedge
UnderwaterIslands_ValleyFloor,Generic,Sand,0.005,0,40,3,5,15,UnderwaterIslands/UnderwaterIslands_Creature_ValleyFloor
UnderwaterIslands_Geyser,Generic,Sand,0.005,0,40,3,5,15,UnderwaterIslands/UnderwaterIslands_Creature_ValleyFloor
UnderwaterIslands_Geyser,Generic,Rock,0.01,45,100,3,5,5,UnderwaterIslands/UnderwaterIslands_Creature_Geyser
UnderwaterIslands_Island,Generic,Sand,0.01,0,40,2,3,4,UnderwaterIslands/UnderwaterIslands_Creature_IslandTop
UnderwaterIslands_Island,Generic,PorousSand,0.01,0,40,2,3,5,UnderwaterIslands/UnderwaterIslands_Creature_IslandTop
UnderwaterIslands_Island,Generic,PorousRock,0.01,70,180,3,5,15,UnderwaterIslands/UnderwaterIslands_Creature_IslandSides
UnderwaterIslands_Island,Generic,PorousCoral,0.1,0,40,1,1,3,UnderwaterIslands/UnderwaterIslands_Creature_IslandPlants
UnderwaterIslands_IslandCave,Generic,PorousSand,0.01,0,45,1,2,2,UnderwaterIslands/UnderwaterIslands_Creature_IslandCaveFloor
UnderwaterIslands_IslandCave,Generic,PorousRock,0.01,45,180,1,2,2,UnderwaterIslands/UnderwaterIslands_Creature_IslandCaveWall
UnderwaterIslands_IslandCave,Generic,PorousCoral,0.01,0,45,1,2,2,UnderwaterIslands/UnderwaterIslands_Creature_IslandCavePlants
UnderwaterIslands_IslandCave,Generic,PorousCoral,0.01,0,45,1,2,2,UnderwaterIslands/UnderwaterIslands_Creature_IslandCavePlants
UnderwaterIslands_Cave,Generic,Rock,0.05,45,160,1,5,0,UnderwaterIslands/UnderwaterIslands_Loot_CaveWall
UnderwaterIslands_Cave,Generic,Sand,0.05,0,45,0.2,5,0,UnderwaterIslands/UnderwaterIslands_Loot_CaveFloor
UnderwaterIslands_Cave,Generic,MFCoral,0.05,0,45,0.2,5,0,UnderwaterIslands/UnderwaterIslands_Loot_CavePlants
UnderwaterIslands_Cave,Generic,Rock,0.05,45,160,1,4,3,UnderwaterIslands/UnderwaterIslands_Creature_CaveWall
UnderwaterIslands_Cave,Generic,Sand,0.05,0,45,0.2,4,3,UnderwaterIslands/UnderwaterIslands_Creature_CaveFloor
UnderwaterIslands_Cave,Generic,MFCoral,0.05,0,45,0.2,4,3,UnderwaterIslands/UnderwaterIslands_Creature_CavePlants
FloatingIsland_Beach,Generic,Sand,0.01,0,45,0.2,4,3,FloatingIsland/FloatingIsland_Creature_Beach
SparseReef,Generic,Sand,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Sand
SparseReef,Generic,Coral,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Coral
SparseReef,Generic,Rock,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Wall
SparseReef,Generic,Sand,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Sand
SparseReef,Generic,Coral,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Coral
SparseReef,Generic,Rock,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Wall
SparseReef_Spike,Generic,Sand,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Spike
SparseReef_Spike,Generic,Coral,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Coral
SparseReef_Spike,Generic,Rock,0.005,0,180,0.3,4,0,SparseReef/SparseReef_Loot_Wall
SparseReef_Spike,Generic,Sand,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Spike
SparseReef_Spike,Generic,Coral,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Coral
SparseReef_Spike,Generic,Rock,0.005,0,180,0.3,4,6,SparseReef/SparseReef_Creature_Spike
SparseReef_Deep,Generic,Sand,0.01,0,45,0.3,4,0,SparseReef/SparseReef_Loot_DeepFloor
SparseReef_Deep,Generic,Coral,0.02,0,45,0.3,1,0,SparseReef/SparseReef_Loot_DeepCoral
SparseReef_Deep,Generic,Rock,0.005,55,180,0.3,4,0,SparseReef/SparseReef_Loot_DeepWall
SparseReef_Deep,Generic,Sand,0.01,0,45,0.3,4,4,SparseReef/SparseReef_Creature_DeepFloor
SparseReef_Deep,Generic,Coral,0.02,0,45,0.3,1,4,SparseReef/SparseReef_Creature_DeepCoral
SparseReef_Deep,Generic,Rock,0.005,55,180,0.3,4,4,SparseReef/SparseReef_Creature_DeepWall
SparseReef_Cave,Generic,Sand,0.005,0,45,0.3,4,0,SparseReef/SparseReef_Loot_CaveFloor
SparseReef_Cave,Generic,Coral,0.005,0,45,0.3,1,0,SparseReef/SparseReef_Loot_CaveCoral
SparseReef_Cave,Generic,Rock,0.005,45,180,0.3,4,0,SparseReef/SparseReef_Loot_CaveWall
SparseReef_Cave,Generic,Sand,0.005,0,45,0.3,4,2,SparseReef/SparseReef_Creature_CaveFloor
SparseReef_Cave,Generic,Coral,0.005,0,45,0.3,1,2,SparseReef/SparseReef_Creature_CaveCoral
SparseReef_Cave,Generic,Rock,0.005,45,180,0.3,4,2,SparseReef/SparseReef_Creature_CaveWall
Dunes,Generic,Dunes_Sand,0.005,0,180,0.3,4,0,Dunes/Dunes_Loot_SandDunes
Dunes,Generic,Dunes_Rock,0.005,0,180,0.3,4,0,Dunes/Dunes_Loot_Rock
Dunes,Generic,Dunes_Grass,0.01,0,180,0.3,4,0,Dunes/Dunes_Loot_Grass
Dunes,Generic,Dunes_Plateau,0.005,0,180,0.3,4,0,Dunes/Dunes_Loot_SandPlateau
Dunes,Generic,Dunes_Rock,0.005,0,180,0.3,4,0,Dunes/Dunes_Loot_Rock
Dunes_Cave*,Generic,Dunes_Sand,0.01,0,45,0.3,4,0,Dunes/Dunes_Loot_CaveFloor
Dunes_Cave*,Generic,Dunes_Plateau,0.01,0,45,0.3,4,0,Dunes/Dunes_Loot_CaveFloor
Dunes_Cave*,Generic,Dunes_Rock,0.01,45,140,0.3,4,0,Dunes/Dunes_Loot_CaveWall
Dunes_Cave*,Generic,Dunes_Rock,0.01,140,180,0.3,4,0,Dunes/Dunes_Loot_CaveCeiling
Dunes_ThermalVents,Generic,Dunes_Sand,0.01,0,180,0.3,4,0,Dunes/Dunes_Loot_ThermalVent_Sand
Dunes_ThermalVents,Generic,Dunes_Rock,0.01,45,180,0.3,4,0,Dunes/Dunes_Loot_ThermalVent_Rock
Dunes_ThermalVents,Generic,Dunes_Grass,0.01,0,180,0.3,4,0,Dunes/Dunes_Loot_ThermalVent_Grass
Dunes_ThermalVents,Generic,Dunes_ThermalVent,0.02,0,180,0.3,4,0,Dunes/Dunes_Loot_ThermalVent
Dunes,Generic,Dunes_Sand,0.005,0,180,0.3,4,6,Dunes/Dunes_Creature_SandDunes
Dunes,Generic,Dunes_Rock,0.005,0,180,0.3,4,6,Dunes/Dunes_Creature_Rock
Dunes,Generic,Dunes_Grass,0.01,0,180,0.3,4,6,Dunes/Dunes_Creature_Grass
Dunes,Generic,Dunes_Plateau,0.005,0,180,0.3,4,6,Dunes/Dunes_Creature_SandPlateau
Dunes_Cave*,Generic,Dunes_Sand,0.01,0,45,0.3,4,3,Dunes/Dunes_Creature_CaveFloor
Dunes_Cave*,Generic,Dunes_Plateau,0.01,0,45,0.3,4,3,Dunes/Dunes_Creature_CaveFloor
Dunes_Cave*,Generic,Dunes_Rock,0.01,45,140,0.3,4,3,Dunes/Dunes_Creature_CaveWall
Dunes_Cave*,Generic,Dunes_Rock,0.01,140,180,0.3,4,3,Dunes/Dunes_Creature_CaveCeiling
Dunes_ThermalVents,Generic,Dunes_Sand,0.01,0,180,0.3,4,3,Dunes/Dunes_Creature_ThermalVent_Sand
Dunes_ThermalVents,Generic,Dunes_Rock,0.01,45,180,0.3,4,3,Dunes/Dunes_Creature_ThermalVent_Rock
Dunes_ThermalVents,Generic,Dunes_Grass,0.01,0,180,0.3,4,3,Dunes/Dunes_Creature_ThermalVent_Grass
Dunes_ThermalVents,Generic,Dunes_ThermalVent,0.02,0,180,0.3,4,3,Dunes/Dunes_Creature_ThermalVent
GrandReef,Generic,GrandReef_Ground,0.003,0,180,0,2,0,GrandReef/GrandReef_Loot_Ground
GrandReef,Generic,GrandReef_Rock,0.004,45,180,1,2,0,GrandReef/GrandReef_Loot_Wall
GrandReef,Generic,GrandReef_Grass,0.005,0,180,1,2,0,GrandReef/GrandReef_Loot_Grass
GrandReef,Generic,GrandReef_WhiteCoral,0.0075,0,180,1,2,0,GrandReef/GrandReef_Loot_WhiteCoral
GrandReef,Generic,GrandReef_PurpleCoral,0.01,0,180,1,2,0,GrandReef/GrandReef_Loot_PurpleCoral
GrandReef,Generic,GrandReef_TreaderPath,0.005,0,180,1,2,0,GrandReef/GrandReef_Loot_TreaderPath
GrandReef_Cave,Generic,GrandReef_Rock,0.01,45,135,1,2,0,GrandReef/GrandReef_Loot_CaveWall
GrandReef_Cave,Generic,GrandReef_Ground,0.01,45,135,1,2,0,GrandReef/GrandReef_Loot_CaveFloor
GrandReef_Cave,Generic,GrandReef_Grass,0.01,45,135,1,2,0,GrandReef/GrandReef_Loot_CaveFloor
GrandReef_Cave,Generic,GrandReef_Ceiling,0.02,135,180,1,2,0,GrandReef/GrandReef_Loot_CaveCeiling
GrandReef_ThermalVent,Generic,GrandReef_ThermalVent,0.03,0,180,1,2,0,GrandReef/GrandReef_Loot_ThermalVent
