blockType,minInclination,maxInclination,material
154,0,30,GrandReef_PurpleCoral
156,0,30,GrandReef_PurpleCoral
159,0,30,GrandReef_PurpleCoral
150,30,180,GrandReef_WhiteCoral
156,30,180,GrandReef_WhiteCoral
152,0,180,GrandReef_TreaderPath
158,0,180,GrandReef_TreaderPath
214,0,180,GrandReef_TreaderPath
151,0,180,GrandReef_SubsurfaceRock
152,0,180,GrandReef_SubsurfaceRock
153,0,180,GrandReef_SubsurfaceRock
154,0,180,GrandReef_SubsurfaceRock
155,0,180,GrandReef_SubsurfaceRock
158,0,180,GrandReef_SubsurfaceRock
159,0,180,GrandReef_SubsurfaceRock
166,0,180,GrandReef_SubsurfaceRock
166,0,45,DeepGrandReef_Ground
155,0,35,DeepGrandReef_BlueCoral
157,0,180,DeepGrandReef_BlueCoral
199,0,45,GrandReef_Ground
199,45,180,GrandReef_Rock
212,0,45,GrandReef_Ground
212,45,180,GrandReef_Rock
160,0,45,GrandReef_Ground
160,45,180,GrandReef_Rock
111,0,45,GrandReef_Ground
111,45,180,GrandReef_Rock
165,0,180,GrandReef_ThermalVent
1,0,360,MTSand
2,0,360,MTSand
3,0,360,MTSand
5,0,360,MTRock
7,0,360,MTRock
9,0,360,MTRock
11,0,360,MTRock
12,0,360,MTRock
14,0,360,MTRock
18,0,360,MTRock
22,0,360,MTRock
23,0,360,MTRock
27,0,360,MTRock
27,0,360,MTRock
46,0,45,MTGrass
46,45,180,MTRock
47,0,45,MTSand
47,45,180,MTRock
51,0,360,MTRock
54,0,45,MTSand
54,45,180,MTRock
56,0,45,MTSand
56,45,180,MTRock
57,0,45,MTSand
57,45,180,MTRock
62,0,45,MTGrass
62,45,180,MTRock
109,0,45,MTSand
109,45,180,MTRock
120,0,360,MTSand
175,0,360,MTRock
176,0,360,MTRock
182,0,45,MTGrass
182,45,180,MTRock
201,0,360,MTRock
215,0,45,MTSand
215,45,180,MTRock
216,0,360,MTRock
218,0,45,MTSand
218,45,180,MTRock
219,0,45,MTSand
219,45,180,MTRock
220,0,45,MTSand
220,45,180,MTRock
228,0,360,MTGrass
231,0,360,MTGrass
233,0,360,MTGrass
235,0,360,MTRock
237,0,45,MTSand
237,45,180,MTRock
1,0,360,CZSand
2,0,360,CZSand
3,0,360,CZSand
5,0,360,CZRock
7,0,360,CZRock
9,0,360,CZRock
10,0,360,CZRock
11,0,360,CZRock
12,0,360,CZRock
13,0,360,CZRock
14,0,360,CZRock
15,0,360,CZSand
18,0,360,CZRock
20,0,360,CZSand
21,0,360,CZSand
22,0,360,CZRock
23,0,360,CZRock
27,0,360,CZRock
28,0,360,CZRock
31,0,360,CZRock
35,0,360,CZRock
37,0,45,CZSand
37,45,180,CZRock
38,0,45,CZSand
38,45,180,CZRock
39,0,45,CZSand
39,45,180,CZRock
44,0,45,CZSand
44,45,180,CZRock
45,0,45,CZSand
45,45,180,CZRock
49,0,45,CZTrenchSand
49,45,180,CZTrenchRock
51,0,360,CZRock
60,0,360,CZRock
62,0,45,CZSand
62,45,180,CZRock
101,0,45,CZSand
101,45,180,CZRock
102,0,45,CZSand
102,45,180,CZRock
110,0,45,CZSand
110,45,180,CZRock
111,0,45,CZSand
111,45,180,CZRock
120,0,360,CZSand
160,0,45,CZSand
160,45,180,CZRock
161,0,45,CZSand
161,45,180,CZRock
162,0,360,CZSand
170,0,360,CZRock
171,0,45,CZSand
171,45,180,CZRock
172,0,45,CZSand
172,45,180,CZRock
173,0,45,CZSand
173,45,180,CZRock
174,0,45,CZSand
174,45,180,CZRock
180,0,45,CZSand
180,45,180,CZRock
189,0,45,CZSand
189,45,180,CZRock
201,0,360,CZRock
222,0,360,CZRock
223,0,45,CZSand
223,45,180,CZRock
226,0,45,CZSand
226,45,180,CZRock
228,0,360,CZSand
230,0,360,CZSand
231,0,360,CZSand
232,0,360,CZSand
233,0,360,CZSand
235,0,360,CZRock
236,0,45,CZSand
236,45,180,CZRock
237,0,45,CZSand
237,45,180,CZRock
242,0,360,CZSand
70,0,45,BloodKelp_Floor
71,0,45,BloodKelp_Roots
72,0,45,BloodKelp_Roots
72,45,180,BloodKelp_Rock
73,0,45,BloodKelp_Floor
73,45,360,BloodKelp_Rock
74,120,360,BloodKelp_Roots
226,0,45,BloodKelp_Floor
226,45,360,BloodKelp_Rock
37,0,45,BloodKelp_Floor
37,45,360,BloodKelp_Rock
3,0,360,BloodKelp_Floor
75,0,45,BloodKelp_Grass
1,0,360,TPSand
3,0,360,TPSand
5,0,360,TPRock
7,0,360,TPRock
9,0,360,TPRock
11,0,360,TPRock
12,0,360,TPRock
13,0,360,TPRock
14,0,360,TPRock
18,0,360,TPRock
20,0,360,TPSand
21,0,360,TPSand
35,0,360,TPRock
37,0,45,TPSand
37,45,180,TPRock
39,0,45,TPSand
39,45,180,TPRock
44,0,360,TPGrass
51,0,360,TPRock
71,0,360,TPRock
72,0,45,TPRock
72,45,180,TPRock
73,0,45,TPSand
73,45,180,TPRock
74,0,360,TPRock
101,0,45,TPGrass
101,45,180,TPRock
120,0,360,TPSand
151,0,45,TPGrass
151,45,180,TPRock
152,0,45,TPSand
152,45,180,TPRock
153,0,45,TPGrass
153,45,180,TPRock
154,0,360,TPRock
159,0,360,TPRock
160,0,45,TPSand
160,45,180,TPRock
162,0,360,TPGrass
163,0,45,TPSand
163,45,180,TPRock
164,0,45,TPSand
164,45,180,TPRock
172,0,45,TPSand
172,45,180,TPRock
175,0,360,TPRock
190,0,45,TPSand
190,45,180,TPRock
208,0,45,TPRock
208,45,180,TPRock
209,0,45,TPGrass
209,45,180,TPRock
210,0,45,TPGrass
210,45,180,TPRock
211,0,45,TPRock
211,45,180,TPRock
212,0,45,TPRock
212,45,180,TPRock
213,0,45,TPPath
213,45,180,TPRock
214,0,360,TPPath
226,0,45,TPSand
226,45,180,TPRock
235,0,360,TPRock
4,0,180,CoolLava
24,0,180,HotLava
24,45,180,CoolLava
25,0,180,CoolLava
26,0,180,CoolLava
27,0,180,CoolLava
28,0,180,CoolLava
29,0,180,CoolLava
31,0,180,HotLava
66,0,180,CoolLava
200,0,180,CoolLava
80,0,180,LavaRock
81,0,180,LavaRock
78,0,180,CoolLava
68,0,180,CoolLava
69,0,180,CoolLava
124,0,180,LostRiver_Algae
125,45,180,LostRiver_Rock
126,0,180,LostRiver_Ledge
130,45,180,LostRiver_Rock
131,45,180,LostRiver_Rock
132,45,180,LostRiver_Rock
133,45,180,LostRiver_Rock
140,0,180,LostRiver_Rock
141,0,180,LostRiver_Rock
142,0,180,LostRiver_Rock
81,0,180,LostRiver_Ground
125,0,45,LostRiver_Ground
130,0,45,LostRiver_Ground
131,0,45,LostRiver_Ground
132,0,45,LostRiver_Ground
133,0,45,LostRiver_Ground
144,0,45,LostRiver_Ground
211,0,180,Rock
151,0,180,Rock
124,0,180,LRJ_Ground
125,0,45,LRJ_Ground
125,45,180,LRJ_Rock
126,0,45,LRJ_Ground
126,45,180,LRJ_Rock
130,45,180,LRJ_Rock
130,0,45,LRJ_Ground
140,0,45,LRJ_Ground
140,45,180,LRJ_Rock
141,0,180,LRJ_Rock
142,0,180,LRJ_Rock
144,0,180,LRJ_Ground
146,0,45,LRJ_Ground
146,45,180,LRJ_Roots
147,0,180,LRJ_Roots
124,0,180,LostRiver_Canyon_Algae
144,0,180,LostRiver_Canyon_Grass
145,45,180,LostRiver_Canyon_Rock
147,45,180,LostRiver_Canyon_Rock
148,45,180,LostRiver_Canyon_Rock
149,45,180,LostRiver_CanyonRock
145,0,45,LostRiver_Canyon_Ground
146,0,45,LostRiver_Canyon_Ground
147,0,45,LostRiver_Canyon_Ground
18,0,45,LostRiver_Canyon_Ground
145,0,45,LostRiver_Ground
146,0,45,LostRiver_Ground
1,0,360,CFSand
3,0,360,CFSand
17,0,360,CFSand
18,0,360,CFRock
20,0,360,CFSand
21,0,360,CFSand
39,0,45,CFSand
39,45,180,CFRock
120,0,360,CFSand
151,0,45,CFGrass
151,45,180,CFRock
153,0,45,CFGrass
153,45,180,CFRock
154,0,360,CFRock
158,0,360,CFGrass
160,0,45,CFSand
160,45,180,CFRock
172,0,45,CFSand
172,45,180,CFRock
199,0,45,CFSand
199,45,180,CFRock
211,0,45,CFGround
211,45,180,CFRock
212,0,45,CFGround
212,45,180,CFRock
84,0,45,PrisonAquarium_Sand
85,0,45,PrisonAquarium_Grass
153,0,45,PrisonAquarium_Grass
84,45,180,PrisonAquarium_Rock
14,0,360,PrisonAquarium_Coral
100,0,360,PrisonAquarium_Coral
7,0,360,PrisonAquarium_SpecialCoral
12,0,360,PrisonAquarium_SpecialCoral
156,0,360,PrisonAquarium_SpecialCoral
235,0,360,PrisonAquarium_DeadCoral
150,0,360,PrisonAquarium_DeadCoral
86,0,180,CZSand
88,0,360,CZRock
89,0,360,CZRock
89,0,360,KZRock
90,0,360,CZRock
90,0,360,KZRock
56,0,360,CZRock
57,0,360,CZRock
30,0,180,TemperatureDamageLava
31,0,180,TemperatureDamageLava
24,0,45,LavaLizardLava
26,0,180,LavaLizardLava
30,0,180,LavaLizardLava
31,0,180,LavaLizardLava
78,0,45,LavaLizardLava
192,0,45,LavaLizardLava
193,0,45,LavaLizardLava
91,0,45,CZSand
